id,clean_text
89,"header image Hi, Michael Gary Scott We received your application to line BI Reporting Analyst header image header image header image Mountain View, California - United States CONTRACT Remote Job Russell Tobin&#039;s client, a financial software company is seeking a BI Reporting Analyst in Mountain View,CA Apply Today! Employment Type: Contract/Hybr... line Wait for news about this proccess This email was sent to . Russell Tobin 420 Lexington Ave. 30th Floor New York, NY 10170 (212) 235-5300 TERMS OF USE TRANSPARENCY IN COVERAGE"
90,"View in Browser Michael Gary Scott, We value your interest in opportunities with Chubb. Thank you for submitting your application for the position of Data Analyst - 10498. We will review your submission and contact you if you are selected for further discussions regarding this, or other, rewarding opportunities. Please be mindful there are many factors which impact our decision to pursue a particular candidate, including skills, work experience and timing of application. If you were requested to provide additional info about your job application, or if you want to manage your profile, go to your candidate self service page. We know candidates have choices. To thank you for your interest in Chubb, you can download a copy of How to Prepare for Your Chubb Interview, a helpful resource from our Talent Acquisition team to equip you when interviewing with our hiring teams. Regards, Talent Acquisition"
91,"Hello Michael Gary Scott, We have received your application for the position of Analyst, Sales Strat... UIH Solutions LLC [196959] Hello Michael Gary Scott, We have received your application for the position of Analyst, Sales Strategy and Operations at United Imaging- North America. We are currently reviewing your experience and qualifications. If your profile corresponds to our requirements, an HR colleague will contact you by phone or email with the next steps. Please check your email including your spam folder for potential future correspondence. Thank you for your interest in United Imaging. Best Regards,"
92,"Michael Gary Scott, Thanks for applying to Spring Health. Your application for Data and Systems Associate, Customer Success Operations has been received, going forward, please check your spam/junk folder for any interview updates or recruiter communications, we've seen an uptick in candidates not seeing our emails that were routed to spam/junk. We appreciate the time you took to apply. Searching and applying for jobs can be fun, but sometimes a very exhausting experience. We have been there and understand how frustrating it can be. That said, we're doing everything in our power to communicate efficiently and effectively with you during the process. Here's a couple of tips for you to continue your journey. Check out the latest Spring Health news and X/Twitter Our Talent team receives an average of 700 applicants (not a typo) for corporate roles and even more for non-corporate roles. We're grateful so many of you want to help in our mission, our team just needs time to review your background and speak with hiring managers about your resume. If your background and experience aligns with the Data and Systems Associate, Customer Success Operations opening, a recruiter from our Talent team will be in touch with you via email or a phone call. Thank you for considering us, Talent @ Spring Health ** Please note:"
93,"TEKsystems: Own Change Hi Michael Gary Scott, Thank you for applying for a job with TEKsystems. We're thrilled you'd like to join us. Our recruiters will review your skills and experience and will contact you if this position is a match. Meanwhile, check out our job board for more great opportunities. Looking to stay up to date on the latest job opportunities? Join our Talent Network. https://static-im.phenompeople.com/CareerConnectResources/TemplateImages/TESYUS/down_arrow_1582213303485.png Join Our Talent Network Thank you, The TEKsystems Team Note: This is an auto-generated email and replies are not monitored. Connect with us https://static-im.phenompeople.com/CareerConnectResources/TemplateImages/TESYUS/TEKsystemsTwitter_PhenomPeople_013020_1580726320303.png https://static-im.phenompeople.com/CareerConnectResources/TemplateImages/TESYUS/TEKsystems_PhenomPeople_013020_1580726268051.png https://static-im.phenompeople.com/CareerConnectResources/TemplateImages/TESYUS/TEKsystems_PhenomPeople_013020_1580726286382.png https://static-im.phenompeople.com/CareerConnectResources/TemplateImages/TESYUS/TEKsystems_PhenomPeople_013020_1580726337751.png https://static-im.phenompeople.com/CareerConnectResources/TemplateImages/TESYUS/TEKsystems_PhenomPeople_013020_1580726300452.png To ensure delivery to your inbox, please add to your address book"
94,"View in Browser Hello, Michael Gary Scott, We received your job application for Data Scientist (Lending Analytics) - 19845. If your profile corresponds to our requirements, a member of our Talent Acquisition team will contact you. If you were requested to provide additional info about your job application, or want to manage your profile, go to your candidate self service page. Sincerely, Navy Federal Talent Acquisition"
95,"Hi Michael Gary Scott, We've received your application, and we are thrilled that you are interested in Employer Direct Healthcare! What happens next? Our team will review your application and see if you are a fit for the position, and us for you! If so, we will reach out to discuss more about: You & your experience, Our company and the Data Analyst, Research & Strategy position, Finally, the next steps in the interview process! If the decision is made to not continue in the interview process, you will be notified in a timely manner. Regards, Employer Direct Healthcare HR Team"
96,"Hi Michael Gary Scott, Thank you for your interest in joining Cognizant and our mission to engineer a smarter, more connected world! This message is confirmation we successfully received your application for Data Collection Specialist-00059720841.We know how laborious a job search can be, and we are grateful you chose to put your time and effort into pursuing Cognizant. The next step is for one of our recruiters to review your application   yes, a human really reads it! If we believe there's a match, the recruiter will contact you to arrange a time to speak about the role and your background. In the meantime, we welcome you to continue browsing more job opportunities and applying for anything else that may interest you. Be sure to also give us a follow on our social media pages! Wishing you success, Cognizant Talent Acquisition Attachments: this_message_in_html.html 2.1 KB"
97,"Global Human Resources Michael Gary Scott , Thanks for your interest in Bank of America. We ve received your application for the following position: 24028375 Apprentice . To assist us in fulfilling federal and state Equal Employment Opportunity (EEO) record-keeping, reporting and other legal requirements, we need to collect additional data for your job application, specifically your Social Security Number and/or personal information such as your race, ethnicity and gender. This information is confidential and won t be used to make an employment decision. Providing this information is voluntary and not required to continue the application process. At Bank of America, qualified candidates are considered for employment without regard to race, gender, gender identity, color, religion, sex, sexual orientation, national origin, age, disability, veteran status, citizenship, marital status, ancestry or any other classification protected by federal, state or local law. To provide this information:   Access the Bank of America Careers site and click the Applicant Login link (located under Resources in the upper right-hand corner).   Log in to access your profile   Log in to access your profile.   Click the icon in the upper right corner and select Candidate Home.   In the My Tasks section, click on the START button next to the job application noted above to take required action. If you re selected to move forward in the interview process, a member of our Talent Acquisition team will contact you. We encourage you to visit our Career site for more information on the benefits and advantages of a career at Bank of America. We wish you success in your job search. Thank you, Bank of America Talent Acquisition This message was sent from an automated system; please"
98,"Hi Michael Gary Scott, Thanks for your interest in Goldman Sachs - we've received your application and will take it from here. While we'd love to be able to reach out to every candidate directly, our recruiting team will be in touch if your experience and skills are a match for this opportunity. In the meantime, please visit our Careers blog and Thank you, Goldman Sachs Recruiting Team This is an automated message,"
99,"Michael Gary Scott, Thanks for applying to Spring Health. Your application for Data and Systems Associate, Customer Success Operations has been received, going forward, please check your spam/junk folder for any interview updates or recruiter communications, we've seen an uptick in candidates not seeing our emails that were routed to spam/junk. We appreciate the time you took to apply. Searching and applying for jobs can be fun, but sometimes a very exhausting experience. We have been there and understand how frustrating it can be. That said, we're doing everything in our power to communicate efficiently and effectively with you during the process. Here's a couple of tips for you to continue your journey. Check out the latest Spring Health news and X/Twitter Our Talent team receives an average of 700 applicants (not a typo) for corporate roles and even more for non-corporate roles. We're grateful so many of you want to help in our mission, our team just needs time to review your background and speak with hiring managers about your resume. If your background and experience aligns with the Data and Systems Associate, Customer Success Operations opening, a recruiter from our Talent team will be in touch with you via email or a phone call. Thank you for considering us, Talent @ Spring Health ** Please note:"
100,"Hi Michael Gary Scott, Hooray! You have officially applied for the Analyst, Recruiting Analytics opening at Salesforce. Thank you for letting us know you re interested in discovering new opportunities with us. Good news   your information is now in the cloud. A member of our recruiting team will personally review your application. If you re a potential match for one of our open positions, we ll be in touch. If we don t have the right role for you now, don t worry, we ll keep your information on file for future opportunities. You can check on the status of your application at any point by logging into our Careers Site. ( https://salesforce.wd12.myworkdayjobs.com/External_Career_Site) Click the button in the right corner, then select  view profile.  Thanks again for considering Salesforce and have a great week! The Salesforce Recruiting Team P.S. This is an auto-generated message. For information on Salesforce's commitment regarding your privacy, please see our Candidate Privacy Statement Get to know us better here: This email was intended for salesforce.com inc.   Salesforce Tower, 415 Mission Street, 3rd Floor, San Francisco, CA 94105"
101,"Dear Michael Gary Scott, We have received your application for the position of Business Intelligence Analyst, SMAI and are thrilled that you d like to join Micron! We are currently evaluating your experience and qualifications. Should you be shortlisted for this position, a recruiter will be in contact with you. To view your application status, log into your Candidate Home In the meantime, we encourage you to regularly visit our career site . Our  Get Matched  feature will instantly match your resume with any relevant, open vacancies. We would be delighted to answer your questions! If you are interested in learning more about Micron you may interact with our team members here . You may also view prior Q&A, by theme and topic. Once again, thank you for your time and consideration. Micron Talent Acquisition Team This email box is not monitored. Please"
102,"Dear Michael Gary Scott, Thank you for your interest in a career at Uline, North America's leading distributor of shipping, packaging and industrial supplies. We are a family-owned company known for our incredible customer service and quality products. We focus on hiring the best and the brightest candidates to support our continued growth and expansion. A team of professionals takes the time to review each resume we receive. When we determine whether your qualifications meet the job specifications, you will hear from us. Position Applied For: Data Analyst Thank you for considering Uline in your job search. This email was intended for ULINE   12575 Uline Drive Pleasant Prairie, WI 53158"
103,"Dear Michael Gary Scott, Thank you very much for your application to McKinsey & Company for our Business Analyst position. Our team will review your application and get back to you with a response as soon as possible. In the meantime, please feel free to read through the supporting information available in your candidate dashboard. If they are of interest to you, you may also want to follow our Careers blog or McKinsey's featured insights to learn more about our people and the work we do. You can discover what a special place McKinsey is -- to learn and build your skills, to be challenged while working on important issues, and to work alongside exceptional people, both colleagues and clients. Please note, if you apply to multiple opportunities with us you may receive separate communication related to each of those applications. We're excited to continue to connect with you. Sincerely, McKinsey's Recruiting Team"
104,"Michael Gary Scott, Thanks for applying to Insurify. Your application has been received and we will review it right away! If your application seems like a good fit for the position we will contact you soon. Regards, Insurify"
105,"Thank you for Applying to Amazon! Amazon.jobs Hi Michael Gary Scott, Thanks for applying to Amazon! We've received your application for the Data Analyst, Amazon Warehouse & Distribution (AWD) (ID: 2671516) position. What happens next? If we decide to move forward with your application, the Amazon recruiting team will reach out to discuss next steps. Any updates to your application status will be reflected on your Application dashboard, so be sure to check back regularly. Go to your application dashboard Explore our interview resources for more information on the hiring process and how to prepare for interviews. To learn more about our peculiar culture, visit Amazon.jobs, and get the latest Amazon news and stories by following our Day One blog. Best regards, Amazon Recruiting Team"
106,"Your application was sent to Retina Consultants of America Michael Gary Scott Your application was sent to Retina Consultants of America Retina Consultants of America Data Analyst Retina Consultants of America   Southlake, TX Applied: 41 seconds ago View similar jobs you may be interested in UST Data Analyst UST   Illinois, United States DataAnnotation Data Analyst DataAnnotation   United States Denezal Junior Data Analyst Denezal   United States See more This email was intended for Michael Gary Scott (Data Science, Analytics & AI). Learn why we included this. You are receiving Job Application Confirmation emails."
107,"Hi Michael Gary Scott, Thank you for your interest in Flip! We wanted to let you know we received your application for Data Scientist, and we are delighted that you would consider joining our team. Our team will review your application and will be in touch if your qualifications match our needs for the role. If you are not selected for this position, keep an eye on our jobs page as we're growing and adding openings. Best, The Flip Team"
108,"Hello Michael Gary Scott, Thank you for your interest in Lyft! We wanted to let you know we received your application for Data Analyst, Airports, and we are delighted that you would consider joining our team. The Recruiting team will review your application and will be in touch if your qualifications match our needs for the role. If you are not selected for this position, keep an eye on our Careers page as we're growing and adding openings. Due to the volume of applications, we want to be respectful of your time and let you know that we will only be reaching out to candidates who are an immediate fit for a role. Want to learn more about what it's like to work for Lyft? Check out Lyft's page and the Lyft Blog. Thank you, The Lyft Team"
109,"Your application was sent to Genpact Michael Gary Scott Your application was sent to Genpact Genpact Data Analyst Genpact   Portland, OR Applied: 7 seconds ago View similar jobs you may be interested in DataAnnotation Data Analyst DataAnnotation   United States Denezal Junior Data Analyst Denezal   United States Nielsen Data Analyst Nielsen   Chicago, IL See more This email was intended for Michael Gary Scott (Data Science, Analytics & AI). Learn why we included this. You are receiving Job Application Confirmation emails."
110,"Dear Michael Gary Scott, Thank you for your recent application to our family of companies! Your resume will be reviewed by our Talent Acquisition Team. If your experience and other qualifications meet our current needs, a recruiter will contact you shortly to discuss the opportunity further. Have an amazing day! The Rocket Talent Acquisition Team Want to set yourself up for success at Rocket? Explore the buttons below to learn more about our culture & interviewing tips & tricks from our Talent Acquisition Team! Explore Our Culture Interviewing Resources Did you know that we're a veteran friendly workplace? To learn more about our veteran resources click on the button below. Veteran Hiring Page This email was intended for"
111,"ASUS Computer International Dear Michael Gary Scott, Thank you for your interest in a career at ASUS Computer International. We have received your application for Business Planning Analyst   Marketing. What happens now? We will review your application and will contact you if there is a good match. In the meantime, to view the status of your application, please go to the following link: Application Status Sincerely, The ASUS Computer International Recruiting Team"
112,"ACTION REQUIRED Complete your application process for RoadOne IntermodaLogistics RoadOne IntermodaLogistics requests applicants to complete 2 skills tests for their Data Analyst and Report Specialist IT role. Indeed Find Jobs Sign in ACTION REQUIRED Complete your application process for RoadOne IntermodaLogistics RoadOne IntermodaLogistics requests applicants to complete 2 skills tests for their Data Analyst and Report Specialist IT role. SQL skills Knowledge of SQL programming concepts Technical support Performing common software-related operations Configuring basic hardware components Understanding and improving network topologies 18 minutes total Start test Did you know? Taking this test will more than double your chance of getting an interview with this employer Questions or concerns? Check out our Help Center. Indeed 6433 Champion Grandview Way, Building 1, Austin, TX 78750 | Terms | Help"
113,"JPMorgan Chase and Co. Dear Michael Gary Scott, Thank you for your interest in Technical Business Analyst position. We're always looking for top talent and we're glad that you're considering us for your next role. If our team feels your skills and experience are a good fit for this opportunity, we'll reach out. And remember, you can always log back into your profile from the careers site homepage to view your status and if needed, withdraw your application. We also invite you to visit our careers site to find and apply for other positions that match your skills and interests. We appreciate your interest in working with us! Sincerely, JPMorgan Chase Recruiting"
114,"Dear Michael Gary Scott: Thank you for your interest in the Federal Reserve Bank of San Francisco. You have successfully completed the online submission process for the Business Analyst - R-0000024648 position. If your skills and experience correspond with our requirements, and we are interested in discussing this position with you further, a member of our Talent Acquisition Team will contact you. Due to the volume of submissions we receive, we may be unable to contact each individual directly; however, you can check the status of your submission(s) by accessing your Candidate Home account using the link below and reviewing the My Applications area. https://rb.wd5.myworkdayjobs.com/FRS We recommend adding to your email address, contacts, and/or  Safe Senders  lists so that you do not miss any important emails regarding open positions, your applicant profile or jobs that you may have applied for with our organization. Best regards, Federal Reserve Bank of San Francisco"
115,"SCFHP Email header Dear Michael Gary Scott, Thank you for submitting your resume. Our management team is reviewing your qualifications and will contact you if there is a match with our current open positions. Meanwhile, using your email address and password, you can login to our careers website anytime to update your application information. We appreciate your interest in Santa Clara Family Health Plan and wish you the best of luck in your job search. Human Resources Santa Clara Family Health Plan www.scfhp.com Email footer"
116,"Dear Michael Gary Scott, Thank you for submitting your application for the position of Analyst, Data and Analysis. We will review your application and contact you shortly if we see a potential fit. Best regards, Digitas Hiring Team"
117,"Dear Michael Gary Scott, Thank you for taking the time to submit your application for the Data Analyst position. We are glad that you are interested in a career at ENTRUST Solutions Group and we're here to help you find your perfect fit. We are currently reviewing your application. If your profile is a good fit for this position, we will contact you about next steps. We may also consider your application for other positions. This could happen a few times and it is part of our recruitment process. To view your application updates, click https://recruiting2.ultipro.com/ENE1003ENENG/JobBoard/020a913b-6f29-4cb0-a3b2-8b9d82d26c72/Candidate/ViewPresence. We encourage you to visit our Job board frequently and continue to look for opportunities that match your interests. Thank you, Talent Acquisition Team ENTRUST Solutions Group"
118,Thanks for applying! You have successfully applied to Eargo This business uses Homebase to manage job applications. Additional communications from Homebase may be sent to you regarding this job opportunity. Just one more thing... We want to know even more about you! Applicants that complete a profile are 8 times more likely to be invited to interview. Update my profile Have questions? Contact
119,"Hi Michael Gary Scott V, Thanks for applying to Google! There are a ton of great companies out there, so we appreciate your interest in joining our team. While we re not able to reach out to every applicant, our recruiting team will contact you if your skills and experience are a strong match for the role. In the meantime, join the conversation about job opportunities and life at Google on our page. Thanks, Google Recruiting Learn more about our Equal Employment Opportunity policy and the EEOC's ""Equal Employment Opportunity is The Law"" (PDF) Pay Transparency Policy Google's Pay Transparency Policy ensures that you won't be discharged or discriminated against based on whether you've inquired about, discussed, or disclosed your pay. Read the full policy (PDF) The information you provide will be used in accordance with Google's applicant and candidate"
120,"Hi Michael Gary Scott, Thank you for applying to PlayStation Global for the San Diego Studio Data Analyst opportunity. Your application has been received and will be reviewed. Please be on the lookout for future correspondence. Regards, PlayStation Talent Acquisition"
121,"Hello Michael Gary Scott Firstly, thank you for your interest in the Data Analyst position here at Workday! We d appreciate your patience in allowing an application review of 5 to 10 business days. Workday attracts a large number of exceptional talent to our opportunities and while we would love to get back to all of our applicants individually, we can only guarantee that we will be in contact with you should we see a strong match between your skills, experience and qualifications that are required for the open opportunity you've applied for. In the meantime, we would recommend you go back to your candidate home portal and confirm you have completed any pending tasks to make sure you've done everything you can for a complete and successful application. We d also encourage you to keep in touch with [not available] and check for new opportunities by visiting our Careers page. Thanks again for your interest in Workday, and we wish you success in your job search! Best, Workday Talent Acquisition Team If you are not offered an opportunity at this time, we may keep your information on file to evaluate you for other positions. Please let us know at any time if you would no longer like Workday to use your information. To learn about our data use practices or how to contact us, visit our privacy statement. This email was intended for Workday, Inc   6110 Stoneridge Mall Road, Pleasanton, CA 94588"
122,"Microsoft Hi, Michael Gary Scott, Thank you for applying to the Business Analyst (Job number:1736486) position at Microsoft! We're glad you're interested in a career at Microsoft and we're here to help you find a perfect fit. You may not receive feedback from us on your application directly, but please know that it s being evaluated, and you ll hear from us as soon as the review process is complete. If you re selected for an interview, you ll be notified by someone on the recruiting team. You can view your application status updates through your Action Center. If you see the job moved to an Archived state, that means the position is either no longer open, you withdrew from consideration, or you were not selected for the role. You may notice that we move your application from one role to another. This may happen a few times and is a normal part of our recruiting process. So, if you see the job you applied to in an Archived state, and a new job listed as Active, please know that this is normal and does not negatively impact your candidacy in any way. How s your profile? A key part of the review process is evaluating your profile in relation to the job requirements, so please make sure your profile is accurate and extensive   it s our first step in getting to know you! You can build your profile anyway you d like   you can import it from , manually update it, or import/attach a resume. The most important thing is that your profile tells your story! We encourage you to check back frequently and continue to look for opportunities that match your interests, as new jobs are being posted regularly. Thank you, Microsoft Recruiting This mail is sent from an unmonitored mailbox. Please"
123,"Dear Michael Gary Scott, Thank you for applying for the Business Systems Analyst-R00105013 position at AbbVie. We will review your experience and qualifications and if they match our requirements, a member of our Talent Acquisition team will reach out. To learn more about AbbVie and our culture, please visit AbbVie.com or If your circumstance related to this application change, please contact us at . At AbbVie, we strive to make a remarkable impact on the lives of patients - thank you for your interest in being part of it. Sincerely, Talent Acquisition"
124,"Your application was sent to Aviva Systems Biology Michael Gary Scott Your application was sent to Aviva Systems Biology Aviva Systems Biology Data Analyst Aviva Systems Biology   San Diego, CA Applied: 7 minutes ago View similar jobs you may be interested in Finfare Data Analyst Finfare   Irvine, CA Crew Data Visualization Analyst Crew   Skillman, NJ RippleMatch Entry Level Data Analyst, application via RippleMatch RippleMatch   San Francisco, CA See more This email was intended for Michael Gary Scott (Data Science, Analytics & AI). Learn why we included this. You are receiving Job Application Confirmation emails."
125,"Your application was sent to DoorDash, Inc Michael Gary Scott Your application was sent to DoorDash, Inc DoorDash, Inc Data Scientist, Analytics DoorDash, Inc   Los Angeles, CA Applied: 7 minutes ago View similar jobs you may be interested in Finfare Data Analyst Finfare   Irvine, CA Crew Data Visualization Analyst Crew   Skillman, NJ RippleMatch Entry Level Data Analyst, application via RippleMatch RippleMatch   San Francisco, CA See more This email was intended for Michael Gary Scott (Data Science, Analytics & AI). Learn why we included this. You are receiving Job Application Confirmation emails."
126,"Dear Michael Gary Scott, Thank you for submitting your application for our Operations Data Analyst Requisition ID 158732 position. Our Recruiting team has received your resume. Using your email address and password, you can log into our career site anytime to update your profile information. We appreciate your interest in Pacific Gas and Electric and wish you the best of luck in your job search. Recruiting Pacific Gas and Electric Company Please do not respond to this email. The originating email account is not monitored."
127,"Dear Michael Gary Scott: Thank you for your interest in the Federal Reserve Bank of New York. You have successfully completed the online submission process for the Data Analytics Specialist - R-0000024243 position. If your skills and experience correspond with our requirements, and we are interested in discussing this position with you further, a member of our Talent Acquisition Team will contact you. Due to the volume of submissions we receive, we may be unable to contact each individual directly; however, you can check the status of your submission(s) by accessing your Candidate Home account using the link below and reviewing the My Applications area. https://rb.wd5.myworkdayjobs.com/FRS We recommend adding to your email address, contacts, and/or  Safe Senders  lists so that you do not miss any important emails regarding open positions, your applicant profile or jobs that you may have applied for with our organization. Best regards, Federal Reserve Bank of New York"
128,"Re: Req #939-Reporting & BI Analyst Dear Michael Gary Scott: We have received your application for the position of Reporting & BI Analyst. Your information and screening answers will be carefully reviewed. If your experience and skills match the requirements of this position, we will contact you with the next stage in our hiring process. You can check your status at any time by logging back into our career site and entering your email address () and password. If you applied using a 3rd party login to create your profile (ie, , Google, etc), use that instead. Once you are logged in, select ""Check Application Status"" in the upper right corner by your name. Thank you for your interest in employment at YMFC - Yamaha Motor Finance Corporation! Regards, Talent Acquisition"
129,"Hi Michael Gary Scott, Thank you for your submission for the position of Data Analyst (Remote). We have received your application to join the KnowBe4 team, and we will be reviewing it shortly. We receive a large volume of applications, and we don t like using automated systems to rate candidates - we have actual people reviewing applications, so we ask for your patience as the selection process may take several weeks. In the meantime, get an inside look of our office space by watching our Inside the Offices Video and by checking out our other videos on our KnowBe4 People Channel. Best Regards, KnowBe4 Hiring Team"
130,"Dear Michael Gary Scott, Thank you for submitting your application for our Operations Data Analyst Requisition ID 158732 position. Our Recruiting team has received your resume. Using your email address and password, you can log into our career site anytime to update your profile information. We appreciate your interest in Pacific Gas and Electric and wish you the best of luck in your job search. Recruiting Pacific Gas and Electric Company Please do not respond to this email. The originating email account is not monitored."
131,"Thank you for Applying to Amazon! Amazon.jobs Hi Michael Gary Scott, Thanks for applying to Amazon! We've received your application for the Business Intelligence Engineer, Team Analytics - Amazon Business Customer Service (ID: 2685692) position. What happens next? If we decide to move forward with your application, the Amazon recruiting team will reach out to discuss next steps. Any updates to your application status will be reflected on your Application dashboard, so be sure to check back regularly. Go to your application dashboard Explore our interview resources for more information on the hiring process and how to prepare for interviews. To learn more about our peculiar culture, visit Amazon.jobs, and get the latest Amazon news and stories by following our Day One blog. Best regards, Amazon Recruiting Team"
132,"Hello, Michael Gary Scott, We received your job application for Data Analyst - Business Intelligence - 1618. If your profile corresponds to our requirements, a member of our Recruiting team will contact you. If you were requested to provide additional info about your job application, or if you want to manage your profile, go to your candidate self service page. Sincerely, Fortive Careers"
133,"Hi Michael Gary Scott, Thank you for applying to our Senior, Data Analyst position. Your application will be reviewed and we will contact you with next steps. You can check your application status at any time by logging in to the link below, clicking on the upper right-hand corner ""Candidate Home"": https://walmart.wd5.myworkdayjobs.com/WalmartExternal Thanks again! Your Walmart Hiring Team Business Process: Job Application: Michael Gary Scott (Referral)  - R-1879015 Senior, Data Analyst (C-7278145) on 07/02/2024 This email was intended for Walmart Inc.   www.walmart.com"
134,"Hi Michael Gary Scott, Thank you for applying for the role of Analyst, Analytics and Data Science ( R4420 ) at Blue Cross Blue Shield of Arizona (BCBSAZ). We appreciate the time and care you put into your application and look forward to reviewing it. We ll be in touch once we ve had a chance to carefully consider your application. In the meantime, we d love for you to get to know BCBSAZ. Visit our NewsCenter, or check out our career site to see that we are one of Arizona s Top Companies to Work for, and see our purpose of Inspiring Health by following us on , Twitter, and . Thanks again, BCBSAZ Human Resources This email box is not monitored. Please"
135,"Dear Michael Gary Scott, Thank you for your interest in a career at Uline, North America's leading distributor of shipping, packaging and industrial supplies. We are a family-owned company known for our incredible customer service and quality products. We focus on hiring the best and the brightest candidates to support our continued growth and expansion. A team of professionals takes the time to review each resume we receive. When we determine whether your qualifications meet the job specifications, you will hear from us. Position Applied For: Business Analyst Thank you for considering Uline in your job search. This email was intended for ULINE   12575 Uline Drive Pleasant Prairie, WI 53158"
136,"We have received your job application! We are thrilled that you are interested in joining us. Here s what you can expect: If your skills and experience are, in fact, a strong match for the specific position requirements, a recruiter will be in touch with you for next steps . In the meantime, get inspired and learn more about our special culture right here! Keep in touch with us on , Twitter and . Business Process: Job Application: Michael Gary Scott  - JR2023-1434 BI, Data Analyst (C2023-118544) on 06/28/2024 This email was intended for ProShop   Topgolf | Callaway | Jack Wolfskin | TravisMathew"
137,"Global Human Resources Michael Gary Scott , Thanks for your interest in Bank of America. We ve received your application for the following position: 24021876 Data Quality Testing Analyst . To assist us in fulfilling federal and state Equal Employment Opportunity (EEO) record-keeping, reporting and other legal requirements, we need to collect additional data for your job application, specifically your Social Security Number and/or personal information such as your race, ethnicity and gender. This information is confidential and won t be used to make an employment decision. Providing this information is voluntary and not required to continue the application process. At Bank of America, qualified candidates are considered for employment without regard to race, gender, gender identity, color, religion, sex, sexual orientation, national origin, age, disability, veteran status, citizenship, marital status, ancestry or any other classification protected by federal, state or local law. To provide this information:   Access the Bank of America Careers site and click the Applicant Login link (located under Resources in the upper right-hand corner).   Log in to access your profile   Log in to access your profile.   Click the icon in the upper right corner and select Candidate Home.   In the My Tasks section, click on the START button next to the job application noted above to take required action. If you re selected to move forward in the interview process, a member of our Talent Acquisition team will contact you. We encourage you to visit our Career site for more information on the benefits and advantages of a career at Bank of America. We wish you success in your job search. Thank you, Bank of America Talent Acquisition This message was sent from an automated system; please"
138,"Michael Gary Scott, Thanks for applying to Valon. Your application has been received and we will review it right away. If your application seems like a good fit for the position we will contact you soon. Regards, Valon Recruiting Team"
139,"Hi Michael Gary Scott, Thank you for applying to Groq! We're always seeking top talent and we wanted you to know that you're officially in our system. While we process your application, please go If your application seems like a good fit for the position we will contact you soon. Thank you! Groq Talent Acquisition Team ** Please note:"
140,"Hi Michael Gary Scott, Thanks for applying to the Data Analyst role at Epsilon! We're glad you're interested in joining our team, and we appreciate the effort you put into your application. Your application has been received and we are currently evaluating your qualifications. At our core, Epsilon is all about relationships and creating connections, now and in the future. If you have a minute to spare, we would love to hear about your application experience by completing this survey here. Thank you, again, for your time and interest, Michael Gary Scott! Thank you, Epsilon Talent Acquisition Team Epsilon is an equal opportunity employer. Please do not respond to this email, as all replies are undeliverable and will not reach Epsilon. Access My Application Please do not share or forward this email, as it pertains to your specific job application"
141,"Thank you for Applying to Amazon! Amazon.jobs Hi Michael Gary Scott, Thanks for applying to Amazon! We've received your application for the Business Analyst (ID: 2563620) position. What happens next? If we decide to move forward with your application, the Amazon recruiting team will reach out to discuss next steps. Any updates to your application status will be reflected on your Application dashboard, so be sure to check back regularly. Go to your application dashboard Explore our interview resources for more information on the hiring process and how to prepare for interviews. To learn more about our peculiar culture, visit Amazon.jobs, and get the latest Amazon news and stories by following our Day One blog. Best regards, Amazon Recruiting Team"
142,"Dear Michael Gary Scott , Thank you for your interest in career opportunities with Brown Advisory. We have received your employment profile and resume for the Business Intelligence Analyst position. Our Talent Acquisition Team will be reviewing your skills and experience as it pertains to the position to which you have applied. Should your qualifications align with this role, one of our Talent Acquisition Advisors will contact you regarding next steps in our process. If there are other career opportunities you feel you meet the qualifications for with Brown Advisory, we highly encourage you to apply. Meanwhile, using your email address and password, you can log into our Careers Website at any time to update your candidate profile. We appreciate your interest in Brown Advisory and wish you the best of luck in your job search. Team Talent Brown Advisory This email box is not monitored. Please"
143,"Hi Michael Gary Scott, I hope this message finds you well. Thank you for applying for the SQL Data Analyst (Customer Success) position at Eventbrite. We have successfully received your application, and our team is currently reviewing all submissions. We appreciate the time and effort you've invested in applying to join our team. Please be assured that we will carefully evaluate your qualifications. If your skills and experiences align with our needs, we will be in touch to discuss next steps in the hiring process. In the meantime, we encourage you to learn more about Eventbrite on our website or through our social media channels: Twitter Thank you once again for your interest in becoming a part of the Eventbrite community, Michael Gary Scott."
144,"Citeline Dear Michael Gary Scott, Thank you for your interest in a career at Citeline. We have received your application for Data Analyst, RWD and we are pleased you are interested in working with us. What happens now? A member of our Talent Acquisition team will review your application and contact you as soon as possible with feedback on your application. In the meantime, to view the status of your application, please go to the following link: Application Status If you would like to keep up with all things at Norstella, please visit: https://www.norstella.com/. Sincerely, The Norstella Talent Acquisition team"
145,"Michael Gary Scott, Thanks for applying to Awin . Your application has been received and we will review it right away. If your application seems like a good fit for the position we will contact you soon. Regards, Awin"
